BRCA1,BRCA2,TP53,ERBB2,ESR1,PGR,MYC,PIK3CA,PTEN,EGFR,AKT1,CCND1,CDH1,RB1,CDKN2A,MDM2,KRAS,BRAF,ATM,CHEK2,MKI67,BCL2,BAX,VEGFA,label
7.5303,6.3045,10.4054,12.3774,13.3341,9.0066,10.1273,8.6416,11.099,8.2174,12.6162,12.3364,11.3986,9.8524,7.1157,10.7004,9.8227,7.1452,10.1627,7.6018,9.9915,9.8864,9.5475,10.8065,Cancer
9.0934,7.097,8.1361,12.8154,14.9104,13.0922,10.2465,9.9858,11.8165,5.9973,10.9729,13.9123,14.1148,10.1493,6.6897,11.1536,10.8841,7.5422,10.774,7.097,10.6047,11.4899,9.0587,9.4562,Cancer
9.5143,8.5178,11.1571,12.3917,13.4731,13.2348,8.7782,8.8243,11.1664,5.6796,11.9458,14.1511,12.3887,10.3656,4.17,11.3681,11.6307,7.3399,10.9486,7.624,11.3022,11.1125,8.9499,10.9105,Cancer
8.3791,6.7628,10.6713,12.848,13.9218,12.287,8.9832,8.1572,10.524,4.1461,12.6476,13.5255,14.7931,10.0164,7.8328,11.5245,10.2066,7.2968,8.7027,8.0596,10.7634,11.8913,10.3873,10.6036,Cancer
8.1411,6.6792,10.4411,13.4814,13.092,12.8178,10.1282,8.6617,10.393,7.8712,11.9664,12.7927,9.7881,10.3482,8.2577,10.8014,10.3253,6.6518,10.1065,7.0861,9.3746,10.4176,9.2523,9.645,Cancer
9.9202,8.1795,9.4055,12.5239,9.6081,4.2072,9.8515,10.2338,11.2891,6.4351,12.4941,9.3079,13.5833,8.792,10.0069,10.5943,10.4042,8.5015,10.5757,8.7081,13.3862,9.3518,9.7655,10.8835,Cancer
7.7353,7.1999,10.8357,11.8221,12.3167,11.1313,10.533,8.372,11.5788,7.3876,12.4813,12.0769,12.2879,9.8788,6.949,10.5117,10.1097,6.9439,8.833,7.1478,10.74,9.0812,9.3745,10.4467,Cancer
7.4483,5.6577,10.691,13.3483,10.8027,11.6462,11.9297,8.4996,10.5916,8.1772,12.0591,12.2236,12.9595,9.7364,7.3265,11.0505,9.5512,6.7681,10.1243,7.6488,8.5157,10.8785,9.769,11.1839,Cancer
7.3997,6.5145,10.6455,12.7615,12.7994,11.5141,10.2364,9.2435,11.2224,9.2797,11.3805,11.8192,13.3303,10.3615,6.8301,10.4218,10.0529,7.6527,10.4772,7.3083,7.2947,11.352,8.9022,10.1893,Cancer
7.7347,6.5847,10.2636,14.1351,10.3331,12.1769,9.3815,9.7533,11.4245,8.8422,12.2205,12.3766,13.2457,10.2384,8.2548,11.1604,10.6098,7.3972,10.1513,7.2338,9.911,10.2687,8.7016,9.8903,Cancer
8.9731,8.1074,9.9134,12.0985,7.1019,3.2117,11.4886,8.8702,11.0665,7.5584,11.6106,11.3461,11.6731,9.0468,11.1157,9.8582,10.7769,7.4979,9.7377,9.0198,11.5547,8.9849,9.4164,11.8258,Cancer
8.3919,5.9341,11.0692,13.2448,15.66,6.1038,12.0086,8.8189,10.3949,3.3006,11.6501,15.5257,14.2759,9.6645,4.4637,12.3567,9.3956,9.0885,9.4788,8.4217,9.2324,12.1361,9.3017,12.1518,Cancer
